disease	samples	tissue
IBD	0	blood/immune cells
IBD	0	cartilage
IBD	0	joint
IBD	0	knee
IBD	0	synovium
IBD	0	spleen
IBD	0	lymph node
IBD	0	retina
IBD	0	bone marrow
IBD	0	fibroblasts
IBD	348	not defined
IBD	0	soft tissue
IBD	0	salivary gland
IBD	0	muscle
IBD	4539	stool
IBD	0	kidney
IBD	0	skin
IBD	4186	cecal mucosa
IBD	261	cecal contents
IBD	2	envo:00002475
IBD	2	envo:00002313
IBD	2	envo:00002476
IBD	2	envo:00002473
IBD	2	envo:00002474
IBD	2	envo:00002479
IBD	2	envo:00002480
IBD	2	envo:00002477
IBD	2	envo:00002478
IBD	2	envo:00002481
IBD	2	envo:00002482
IBD	2	envo:00002067
IBD	2	envo:00002068
IBD	2	envo:00002069
IBD	2	envo:00002070
IBD	2	envo:00002063
IBD	2	envo:00002064
IBD	2	envo:00002066
IBD	2	envo:00002065
IBD	2	envo:00002071
IBD	2	envo:00002072
IBD	2	envo:00002122
IBD	2	envo:00002121
IBD	2	envo:00002114
IBD	2	envo:00002429
IBD	2	envo:00002113
IBD	2	envo:00002116
IBD	2	envo:00002115
IBD	2	envo:00002118
IBD	2	envo:00002117
IBD	2	envo:00002120
IBD	2	envo:00002119
IBD	28	envo:00002489
IBD	2	envo:00002241
IBD	2	envo:00002242
IBD	2	envo:00002237
IBD	2	envo:00002239
IBD	2	envo:00002238
IBD	2	envo:00002240
IBD	2	envo:00002233
IBD	2	envo:00002234
IBD	2	envo:00002235
IBD	2	envo:00002236
IBD	2	envo:00002057
IBD	2	envo:00002292
IBD	2	envo:00002291
IBD	2	envo:00002284
IBD	2	envo:00002286
IBD	2	envo:00002283
IBD	2	envo:00002285
IBD	2	envo:00002288
IBD	2	envo:00002287
IBD	2	envo:00002290
IBD	2	envo:00002289
IBD	2	envo:00002446
IBD	2	envo:00002311
IBD	2	envo:00002312
IBD	2	envo:00002303
IBD	2	envo:00002445
IBD	2	envo:00002304
IBD	2	envo:00002305
IBD	2	envo:00002306
IBD	2	envo:00002307
IBD	2	envo:00002308
IBD	2	envo:00002310
IBD	2	envo:00002309
IBD	2	envo:00002031
IBD	2	envo:00002032
IBD	2	envo:00002443
IBD	2	envo:00002023
IBD	2	envo:00002024
IBD	2	envo:00002025
IBD	2	envo:00002027
IBD	2	envo:00002026
IBD	2	envo:00002028
IBD	2	envo:00002029
IBD	2	envo:00002030
IBD	2	envo:00002448
IBD	2	envo:00002447
IBD	2	envo:00002444
IBD	2	envo:00002432
IBD	2	envo:00002431
IBD	2	envo:00002428
IBD	2	envo:00002427
IBD	2	envo:00002430
IBD	2	envo:00002041
IBD	2	envo:00002424
IBD	2	envo:00002423
IBD	2	envo:00002426
IBD	2	envo:00002425
IBD	2	envo:00002062
IBD	2	envo:00002061
IBD	2	envo:00002252
IBD	2	envo:00002058
IBD	2	envo:00002060
IBD	2	envo:00002059
IBD	2	envo:00002054
IBD	2	envo:00002053
IBD	2	envo:00002056
IBD	2	envo:00002251
IBD	2	envo:00002450
IBD	2	envo:00002371
IBD	2	envo:00002449
IBD	2	envo:00002372
IBD	2	envo:00002163
IBD	2	envo:00002164
IBD	2	envo:00002165
IBD	2	envo:00002166
IBD	2	envo:00002167
IBD	2	envo:00002168
IBD	2	envo:00002169
IBD	2	envo:00002170
IBD	2	envo:00002171
IBD	2	envo:00002172
IBD	2	envo:00002102
IBD	2	envo:00002101
IBD	2	envo:00002351
IBD	2	envo:00002352
IBD	2	envo:00002347
IBD	2	envo:00002348
IBD	2	envo:00002349
IBD	2	envo:00002350
IBD	2	envo:00002343
IBD	2	envo:00002344
IBD	2	envo:00002346
IBD	2	envo:00002345
IBD	2	envo:00002270
IBD	2	envo:00002269
IBD	2	envo:00002268
IBD	2	envo:00002267
IBD	2	envo:00002266
IBD	2	envo:00002265
IBD	2	envo:00002264
IBD	2	envo:00002263
IBD	2	envo:00002096
IBD	2	envo:00002272
IBD	2	envo:00002095
IBD	2	envo:00002271
IBD	2	envo:00002391
IBD	2	envo:00002392
IBD	2	envo:00002085
IBD	2	envo:00002464
IBD	2	envo:00002463
IBD	2	envo:00002466
IBD	2	envo:00002467
IBD	2	envo:00002468
IBD	2	envo:00002465
IBD	2	envo:00002470
IBD	2	envo:00002469
IBD	2	envo:00002472
IBD	2	envo:00002471
IBD	2	envo:00002014
IBD	2	envo:00002013
IBD	2	envo:00002015
IBD	2	envo:00002016
IBD	2	envo:00002017
IBD	2	envo:00002018
IBD	2	envo:00002022
IBD	2	envo:00002020
IBD	2	envo:00002019
IBD	2	envo:00002021
IBD	2	envo:00002127
IBD	2	envo:00002128
IBD	2	envo:00002130
IBD	2	envo:00002129
IBD	2	envo:00002123
